Name,Link
"<span class=""screen-reader-text"">Diretor médico (Técnico)</span>",https://br.linkedin.com/jobs/view/diretor-m%C3%A9dico-t%C3%A9cnico-at-rede-santa-catarina-2435745745?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=1z3maO3mAH0hXy7xokamCQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Médico</span>",https://br.linkedin.com/jobs/view/m%C3%A9dico-at-medscanlagos-2436424441?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=yILE7Clhe2hHUMKO5W0KUw%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Consultor Relacionamento Médico I - DV</span>",https://br.linkedin.com/jobs/view/consultor-relacionamento-m%C3%A9dico-i-dv-at-pfizer-2453944100?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=eMUcdyctiGh%2Bx2FP8h3c4A%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Gerente Médico</span>",https://br.linkedin.com/jobs/view/gerente-m%C3%A9dico-at-ferring-pharmaceuticals-2402742954?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=A1bjeCUJMZI7W9CMX1Ns9g%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Médico</span>",https://br.linkedin.com/jobs/view/m%C3%A9dico-at-ecare-group-2438797187?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=TvGKtfrWUvwCXeNvf1gD4A%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Consultor Relacionamento Médico I</span>",https://br.linkedin.com/jobs/view/consultor-relacionamento-m%C3%A9dico-i-at-pfizer-2433071304?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=OOuliDPUEtQqLvj63Ueq1g%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Médico(a) Reumatologista</span>",https://br.linkedin.com/jobs/view/m%C3%A9dico-a-reumatologista-at-amorsa%C3%BAde-2440660953?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=1QORN38PoP00voTSH1mI%2FA%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Médico plantonista UTI</span>",https://br.linkedin.com/jobs/view/m%C3%A9dico-plantonista-uti-at-grupo-saluti-2436436823?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=r3V4mukgRdpnRj7w%2BmPAlg%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Gerente Médico - Morumbi, SP</span>",https://br.linkedin.com/jobs/view/gerente-m%C3%A9dico-morumbi-sp-at-unitedhealth-group-2436082994?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=QEm4O9nSkWh8%2F9tT1sysag%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"<span class=""screen-reader-text"">Médico(a)</span>",https://br.linkedin.com/jobs/view/m%C3%A9dico-a-at-smart-multicl%C3%ADnica-2445356710?refId=0fb59ac9-cb70-4095-96dc-a22f6ddc831f&trackingId=ZbAg2vk7baF5ca%2BoX3ybTw%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
